27473;# doc = ras_serb.2.txt;;;;;;;;;;;;;;;;
27474;# speaker = Суф;;;;;;;;;;;;;;;;
27475;# sent = 2007;;;;;;;;;;;;;;;;
27476;;Расшифровки;РАСШИФРОВКА;S f inan nom pl;;;   _Расшифровки_ , изучение диалектов;и;к;в;о;р;ф;S;РАСШИФРОВКА;S f inan acc pl;А
27477;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27478;;изучение;ИЗУЧЕНИЕ;S n inan nom sg;;; Расшифровки , _изучение_ диалектов . ;е;и;н;е;ч;у;S;ИЗУЧЕНИЕ;S n inan nom sg;Е
27479;;диалектов;ДИАЛЕКТ;S m inan gen pl;;;Расшифровки , изучение _диалектов_ .  ;в;о;т;к;е;л;S;ДИАЛЕКТ;S m inan gen pl;Т
27480;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27481;;;;;;;;;;;;;;;;;
27482;# sent = 2008;;;;;;;;;;;;;;;;
27483;;Поэтому;ПОЭТОМУ;ADV -;;;.   _Поэтому_ давайте мы возьмём;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -;У
27484;;давайте;ДАВАТЬ;V ipf - pl imper - 2p;;;  Поэтому _давайте_ мы возьмём первый;е;т;й;а;в;а;V;ДАВАТЬ;V ipf - pl imper - 2p;Ь
27485;;мы;МЫ;SPRO pl 1p - nom;;; Поэтому давайте _мы_ возьмём первый выпуск;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
27486;;возьмём;ВЗЯТЬ;V pf - pl imper - 1p;;;Поэтому давайте мы _возьмём_ первый выпуск Нокии;м;ё;м;ь;з;о;V;ВЗЯТЬ;V pf - pl imper - 1p;Ь
27487;;первый;ПЕРВЫЙ;ANUM - acc sg plen m inan;;;давайте мы возьмём _первый_ выпуск Нокии с;й;ы;в;р;е;п;A;ПЕРВЫЙ;A - acc sg plen m inan;Й
27488;;выпуск;ВЫПУСК;S m inan acc sg;;;мы возьмём первый _выпуск_ Нокии с диктофоном;к;с;у;п;ы;в;S;ВЫПУСК;S m inan nom sg;К
27489;;Нокии;НОКИА;S f inan gen sg;;;возьмём первый выпуск _Нокии_ с диктофоном ,;и;и;к;о;н;;S;НОКИА;S f inan nom sg;А
27490;;с;С;PR;;;первый выпуск Нокии _с_ диктофоном , засунем;с;;;;;;PR;С;PR;С
27491;;диктофоном;ДИКТОФОН;S m inan ins sg;;;выпуск Нокии с _диктофоном_ , засунем его;м;о;н;о;ф;о;S;ДИКТОФОН;S m inan ins sg;Н
27492;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27493;;засунем;ЗАСУНУТЬ;V pf - pl imper - 1p;;;с диктофоном , _засунем_ его в ведро;м;е;н;у;с;а;V;ЗАСУНУТЬ;V pf - pl imper - 1p;Ь
27494;;его;ОН;SPRO sg 3p m acc;;;диктофоном , засунем _его_ в ведро ,;о;г;е;;;;SPRO;ЕГО;A - nonflex - plen - -;Н
27495;;в;В;PR;;;, засунем его _в_ ведро , это;в;;;;;;PR;В;PR;В
27496;;ведро;ВЕДРО;S n inan acc sg;;;засунем его в _ведро_ , это ведро;о;р;д;е;в;;S;ВЕДРО;S n inan acc sg;О
27497;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
